episode_id,scenario,has_incident,had_leak,onset,base_alarm_t,base_detected,base_lead,base_false_alarm,base_alarm_minutes,model_alarm_t,model_detected,model_lead,model_false_alarm,model_alarm_minutes,model_peak_proba
38,normal,False,0,-1,,False,,False,0,,False,,False,0,0.616525513596479
39,gas_leak_visible,False,1,-1,136.0,False,,True,20,,False,,False,0,0.9100226071764494
40,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8991301325250431
41,gas_leak_visible,False,1,-1,56.0,False,,True,4,,False,,False,0,0.8026342469876215
42,compound_hidden,False,1,-1,,False,,False,0,,False,,False,0,0.9422582314288205
43,compound_hidden,False,1,-1,74.0,False,,True,8,,False,,False,0,0.9273056758988149
44,normal,False,0,-1,,False,,False,0,,False,,False,0,0.7080734307875503
45,normal,False,0,-1,,False,,False,0,,False,,False,0,0.49407345351290927
46,normal,False,0,-1,,False,,False,0,,False,,False,0,0.3598552496297333
47,normal,False,0,-1,,False,,False,0,,False,,False,0,0.22658842232969503
48,compound_hidden,False,1,-1,,False,,False,0,113.0,False,,True,3,0.9762569620468244
49,normal,False,0,-1,177.0,False,,True,2,,False,,False,0,0.29829573963181083
50,compound_hidden,False,1,-1,48.0,False,,True,24,48.0,False,,True,11,0.9686208801375236
51,normal,False,0,-1,,False,,False,0,,False,,False,0,0.32715057719333035
52,compound_hidden,False,1,-1,,False,,False,0,,False,,False,0,0.8624658162639767
53,normal,False,0,-1,74.0,False,,True,2,,False,,False,0,0.16964920675730025
54,normal,False,0,-1,,False,,False,0,,False,,False,0,0.1856220534455418
55,compound_hidden,True,1,130,130.0,False,,False,15,118.0,True,12.0,False,23,0.995587915935106
56,maintenance_no_leak,False,0,-1,8.0,False,,True,4,,False,,False,0,0.8993872265939866
57,gas_leak_visible,False,1,-1,164.0,False,,True,42,170.0,False,,True,10,0.9771153751193997
58,compound_hidden,False,1,-1,152.0,False,,True,9,,False,,False,0,0.9338154441367212
59,gas_leak_visible,False,1,-1,63.0,False,,True,21,,False,,False,0,0.5871673856863591
60,maintenance_no_leak,False,0,-1,11.0,False,,True,2,,False,,False,0,0.8755791395157262
61,compound_hidden,True,1,90,92.0,False,,False,7,82.0,True,8.0,False,16,0.9953407194108043
62,compound_hidden,False,1,-1,211.0,False,,True,2,64.0,False,,True,7,0.9905919864915649
63,normal,False,0,-1,27.0,False,,True,2,,False,,False,0,0.4851331942475182
64,maintenance_no_leak,False,0,-1,,False,,False,0,108.0,False,,True,1,0.9601668924738066
65,compound_hidden,True,1,70,72.0,False,,False,6,56.0,True,14.0,False,21,0.9942549500421815
66,gas_leak_visible,False,1,-1,127.0,False,,True,26,,False,,False,0,0.9043504801560516
67,compound_hidden,False,1,-1,153.0,False,,True,2,110.0,False,,True,6,0.9912553262612441
68,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.4389648727591077
69,compound_hidden,True,1,128,77.0,True,51.0,False,20,74.0,True,54.0,False,26,0.9945539426348338
70,compound_hidden,False,1,-1,33.0,False,,True,1,,False,,False,0,0.8816754998896643
71,gas_leak_visible,False,1,-1,62.0,False,,True,34,86.0,False,,True,2,0.9733077640413897
72,normal,False,0,-1,17.0,False,,True,2,,False,,False,0,0.32672819134734876
73,gas_leak_visible,False,1,-1,121.0,False,,True,9,,False,,False,0,0.8418424280103494
74,compound_hidden,False,1,-1,95.0,False,,True,4,65.0,False,,True,9,0.9816581519531205
75,compound_hidden,True,1,86,73.0,True,13.0,False,43,66.0,True,20.0,False,37,0.9948295768900055
76,normal,False,0,-1,52.0,False,,True,4,,False,,False,0,0.5549623190291559
77,normal,False,0,-1,9.0,False,,True,4,,False,,False,0,0.47117125283125755
78,compound_hidden,True,1,81,82.0,False,,False,11,73.0,True,8.0,False,17,0.9952475818323843
79,compound_hidden,False,1,-1,,False,,False,0,57.0,False,,True,7,0.9857470328654153
80,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.7828687575798157
81,normal,False,0,-1,68.0,False,,True,4,,False,,False,0,0.08927405775500076
82,compound_hidden,False,1,-1,,False,,False,0,67.0,False,,True,6,0.9778810948035627
83,compound_hidden,True,1,89,87.0,True,2.0,False,19,76.0,True,13.0,False,23,0.9946234472425854
84,normal,False,0,-1,224.0,False,,True,2,,False,,False,0,0.4326238207890255
85,compound_hidden,False,1,-1,11.0,False,,True,1,102.0,False,,True,15,0.9945272365303852
86,normal,False,0,-1,45.0,False,,True,2,,False,,False,0,0.4037119571759383
87,normal,False,0,-1,21.0,False,,True,4,,False,,False,0,0.3417797777515044
88,normal,False,0,-1,36.0,False,,True,2,,False,,False,0,0.3236446535373684
89,normal,False,0,-1,,False,,False,0,,False,,False,0,0.612258046441536
90,compound_hidden,False,1,-1,182.0,False,,True,2,57.0,False,,True,5,0.9805968475746887
91,gas_leak_visible,False,1,-1,152.0,False,,True,8,,False,,False,0,0.8716717855166849
92,normal,False,0,-1,,False,,False,0,,False,,False,0,0.3180133348450298
93,compound_hidden,True,1,114,113.0,True,1.0,False,21,107.0,True,7.0,False,21,0.9966196587508648
94,compound_hidden,True,1,76,75.0,True,1.0,False,56,62.0,True,14.0,False,56,0.9947399576888046
95,normal,False,0,-1,,False,,False,0,,False,,False,0,0.5145497429073217
96,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.6715113314946477
97,compound_hidden,True,1,122,,False,,False,0,114.0,True,8.0,False,12,0.9934305965672225
98,compound_hidden,False,1,-1,29.0,False,,True,2,78.0,False,,True,1,0.9549643800540673
99,compound_hidden,True,1,84,83.0,True,1.0,False,35,76.0,True,8.0,False,29,0.9957719973655311
100,normal,False,0,-1,,False,,False,0,,False,,False,0,0.40705455116639927
101,normal,False,0,-1,10.0,False,,True,2,,False,,False,0,0.6604476929330357
102,normal,False,0,-1,196.0,False,,True,2,,False,,False,0,0.1645375124953277
103,maintenance_no_leak,False,0,-1,57.0,False,,True,2,84.0,False,,True,1,0.9511537061196109
104,compound_hidden,True,1,204,20.0,True,184.0,False,57,185.0,True,19.0,False,41,0.9700237978813899
105,gas_leak_visible,False,1,-1,68.0,False,,True,12,,False,,False,0,0.8893480882413731
106,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.9073721773654104
107,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.33562492913930286
108,gas_leak_visible,True,1,165,127.0,True,38.0,False,68,153.0,True,12.0,False,27,0.9805220261928288
109,maintenance_no_leak,False,0,-1,137.0,False,,True,2,137.0,False,,True,2,0.9692445116222882
110,maintenance_no_leak,False,0,-1,12.0,False,,True,4,,False,,False,0,0.834351279854289
111,maintenance_no_leak,False,0,-1,,False,,False,0,91.0,False,,True,1,0.9696008466813395
112,compound_hidden,False,1,-1,224.0,False,,True,2,,False,,False,0,0.8914019265918899
113,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8253987988407078
114,compound_hidden,True,1,161,96.0,True,65.0,False,33,151.0,True,10.0,False,33,0.9926810744661176
115,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.34664010068512824
116,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.6368132005069889
117,compound_hidden,False,1,-1,16.0,False,,True,1,90.0,False,,True,3,0.9751255054930384
118,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8707962706545956
119,compound_hidden,True,1,170,154.0,True,16.0,False,29,140.0,True,30.0,False,20,0.9823107886217538
120,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8955761100048527
121,maintenance_no_leak,False,0,-1,79.0,False,,True,4,79.0,False,,True,3,0.9848415137398129
122,gas_leak_visible,False,1,-1,69.0,False,,True,20,,False,,False,0,0.8615676260332681
123,compound_hidden,True,1,126,125.0,True,1.0,False,18,118.0,True,8.0,False,18,0.992885799706275
124,compound_hidden,True,1,161,148.0,True,13.0,False,44,149.0,True,12.0,False,27,0.9881845085279498
125,compound_hidden,False,1,-1,,False,,False,0,92.0,False,,True,11,0.9849778709250395
126,compound_hidden,False,1,-1,90.0,False,,True,2,81.0,False,,True,12,0.9918673945990658
127,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.32017644636219306
128,compound_hidden,True,1,61,62.0,False,,False,28,52.0,True,9.0,False,31,0.9946696652673521
129,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.850072504436566
130,compound_hidden,True,1,75,22.0,True,53.0,False,31,60.0,True,15.0,False,24,0.9947492230092283
131,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.5536019231262572
132,compound_hidden,False,1,-1,170.0,False,,True,2,115.0,False,,True,10,0.9927297180438182
